Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
63,National Institute of Technology  Patna,2022,12.97,21.06,14.11,12.82,14.53,15.36,1,1.88,33.39,14.33,13.74,4.3,10.37,11.67,0.65,20,7
,,,,,,,,,,,,,,,,,,,
64,Graphic Era University,2022,12.95,30,15.46,12.64,5.39,8.42,4,0.39,21.22,14.3,10.92,1.69,18.75,26.69,1.84,20,27.35
,,,,,,,,,,,,,,,,,,,
65,National Institute of Technology Raipur,2022,13.84,19.16,12.35,10.26,15.94,16.74,1.5,0.59,25.83,15,14.83,5.56,11.77,15.95,8.9,20,7
,,,,,,,,,,,,,,,,,,,
66,National Institute of Technology Srinagar,2022,12.09,22.74,13.78,14.59,8.1,9.55,1.5,0.65,30.61,15,13.71,5.11,12.81,21.86,11.2,20,11.37
,,,,,,,,,,,,,,,,,,,
67,M. S. Ramaiah Institute of Technology,2022,12.57,28.83,15.57,9.12,7.06,9.84,2.5,0.42,33.09,15,11.89,1.95,8.46,24.93,1.78,20,14.94
,,,,,,,,,,,,,,,,,,,
68,Indian Institute of Technology Palakkad,2022,6.08,30,16.28,18.33,4.97,5.89,0,1.25,29.22,15,15.95,0.08,17.41,20.08,6.4,20,16.43
,,,,,,,,,,,,,,,,,,,
69,Indraprastha Institute of Information Technology,2022,10.42,14.13,9.86,15.72,16.5,15.2,0.5,2.63,30.88,15,20.43,2.99,9.94,12.06,0.56,20,11.78
,,,,,,,,,,,,,,,,,,,
70,Maulana Azad National Institute of Technology,2022,14.17,18.72,12.47,9.54,12.5,14.75,2.5,0.72,28.97,15,14.76,3.57,12.65,17.49,8.92,20,6.54
,,,,,,,,,,,,,,,,,,,
71,Defence Institute of Advanced Technology,2022,3.94,26.1,15.97,16.12,15.2,15.04,2,3.77,20.48,11.03,19.56,2.88,6.81,14.53,0,20,2.64
,,,,,,,,,,,,,,,,,,,
72,College of Engineering Pune,2022,11.5,24.91,12.69,13.23,7.01,6.26,2,1.84,33.79,15,15.11,1.23,2.32,23.89,5.44,20,23.51
,,,,,,,,,,,,,,,,,,,
73,Sri Krishna College of Engineering and Technology,2022,12,26.7,12.66,11.3,4.74,7.11,5,0.28,37.28,15,11.61,0.68,1.13,25.77,3.28,20,23.82
,,,,,,,,,,,,,,,,,,,
74,Guru Gobind Singh Indraprastha University,2022,9.5,24.19,14.53,6.99,16.88,15.32,0.5,0.31,22.08,15,13.42,2.13,5.66,22.68,1.26,18,22.57
,,,,,,,,,,,,,,,,,,,
75,Manipal University Jaipur,2022,12.9,26.56,15.29,8.79,10,11.81,2.5,0.13,30.26,15,10.96,0.46,19.34,20.04,0.15,20,1.6
,,,,,,,,,,,,,,,,,,,
76,Jawaharlal Nehru Technological University,2022,14.44,23.22,11.95,16.05,11.18,10.6,3,2.62,18.29,12.25,10.06,3.42,1.79,27.37,4.79,20,6.54
,,,,,,,,,,,,,,,,,,,
77,AU College of Engineering Visakhapatnam,2022,12.5,21.89,12.26,14.76,4.43,4.3,1.5,1.51,38.72,15,11.15,7.26,2.34,28.97,4.71,20,7.91
,,,,,,,,,,,,,,,,,,,
78,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,2022,6.16,19.79,13.75,12.88,9.1,9.63,0.5,1.31,34.84,13.89,21.17,1.63,21.34,12.58,2.19,20,7
,,,,,,,,,,,,,,,,,,,
79,Netaji Subhas University of Technology (NSUT),2022,15.09,18.54,10.42,8.72,8.05,11.09,0,0.35,30.98,15,18.86,3.67,5.1,18.11,1.23,20,23.2
,,,,,,,,,,,,,,,,,,,
80,National Institute of Technology Agartala,2022,11.96,21.06,13.12,10.45,10.65,12.56,2,0.23,23.96,12.91,13.8,3.52,12.33,18.89,8.42,20,5.12
,,,,,,,,,,,,,,,,,,,
81,International Institute of Information Technology Bangalore,2022,8,20.26,12.55,14.4,6.04,3.51,2,4.6,24.61,15,23.4,0.6,23.45,16.51,0,20,17.88
,,,,,,,,,,,,,,,,,,,
82,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology  Design and Manufacturing (IIITDM),2022,9.09,14.92,10.15,11.62,13.15,14.4,0.5,0.69,31.53,15,15.62,4.3,20.79,11.12,7.47,20,2.12
,,,,,,,,,,,,,,,,,,,
83,B. M. S. College of Engineering,2022,14.5,22.69,11.82,10.47,5.17,5.85,4,0.5,29.84,14.89,14.97,1.03,6.42,24.03,1.84,20,18.23
,,,,,,,,,,,,,,,,,,,
84,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,2022,13.84,24.48,11.62,4.87,12.56,14.46,4,0.11,22.7,11.09,10.66,0.46,19.43,18.8,5.56,20,2.12
,,,,,,,,,,,,,,,,,,,
85,Thiagarajar College of Engineering,2022,11.5,21.07,11.63,7.74,6.78,9.24,2,1.3,30.66,15,10.63,3.37,0.49,25.66,2.44,20,29.29
,,,,,,,,,,,,,,,,,,,
86,National Institute of Food Technology Entrepreneurship and Management - Thanjavur (NIFTEM - Thanjavur),2022,4.97,30,17.4,19.48,3.37,6.57,0.5,3.74,23.52,13.41,8.72,0.82,7.71,26.84,2.43,20,2.64
,,,,,,,,,,,,,,,,,,,
87,Punjab Engineering College (Deemed to be University) Chandigarh,2022,11.53,15.91,10.19,13.04,6.43,9.1,1.5,0.91,32.38,15,15.69,2.77,12.9,19.13,1.63,20,19.27
,,,,,,,,,,,,,,,,,,,
88,National Institute of Technology Goa,2022,6.4,22.15,13.87,12.53,11.31,10.3,0,0.9,26.28,12.69,13.78,1.76,17.31,18.48,2.32,20,8.36
,,,,,,,,,,,,,,,,,,,
89,R.V. College of Engineering,2022,13.5,25.91,13.79,8.07,7.82,6.02,2,0.52,24.29,15,15.62,0.38,6.72,23.12,0.91,20,12.99
,,,,,,,,,,,,,,,,,,,
90,National Institute of Technology  Jamshedpur,2022,11.69,17.25,11.94,12.55,7.25,10.27,0.5,1.07,34.85,15,14.32,2.99,13.38,10.23,3.16,20,8.36
,,,,,,,,,,,,,,,,,,,
91,SR University,2022,10.86,30,17.34,7.32,4.46,5.69,3,0.13,22.96,15,9.94,0,6.64,29.51,6.08,20,12.59
,,,,,,,,,,,,,,,,,,,
92,Panjab University,2022,11.23,14.81,9.47,5.32,19.2,22.31,2,1.88,18.44,10.27,12.7,2.99,15.88,20.83,1.81,8,11.78
,,,,,,,,,,,,,,,,,,,
93,Indian Institute of Information Technology Allahabad,2022,8.92,13.59,9.29,10.73,8.8,8.47,0.5,0.71,33.22,15,22.14,3.62,18.12,10.25,3.31,20,22.57
,,,,,,,,,,,,,,,,,,,
94,Jaypee Institute of Information Technology,2022,12.15,19.38,12.12,7.98,11.12,12.32,1.5,0.18,32.32,13.82,11.4,2.43,8.07,20.4,0.21,20,6.07
,,,,,,,,,,,,,,,,,,,
95,Rajalakshmi Engineering College,2022,14.11,28.97,14.49,7.47,2.26,4.25,2,0.69,32.2,15,9.77,2.88,5.21,27.08,6.9,20,3.14
,,,,,,,,,,,,,,,,,,,
96,The Northcap University,2022,7.83,28.63,17.23,11,5.58,6.93,2,0.07,29.54,14.9,10.06,0.38,9.4,20.96,1.28,20,4.14
,,,,,,,,,,,,,,,,,,,
97,Siddaganga Institute of Technology,2022,10.35,29.7,14.32,7.27,5.48,8.16,0,0.39,29.93,12.59,12.12,0.75,3.38,25.26,2.55,20,13.39
,,,,,,,,,,,,,,,,,,,
98,C.V. Raman Global University Odisha,2022,13.01,26.55,14.77,9.33,1.18,2.8,1,0.34,33.33,15,11.02,0,14.84,23.32,5.82,20,12.19
,,,,,,,,,,,,,,,,,,,
99,Vignan's Foundation for Science  Technology and Research,2022,12.98,29.55,14.64,4.47,7.7,9.11,4,0.31,19.28,15,11.18,1.5,6.18,26.37,3.75,20,3.14
,,,,,,,,,,,,,,,,,,,
100,PES University,2022,13.82,22.09,10.59,9.77,6.8,5.83,2,0.3,34.16,15,14.39,0.23,5.05,24.5,1.47,20,9.24
,,,,,,,,,,,,,,,,,,,
Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
,,,,,,,,,,,,,,,,,,,
1,Indian Institute of Technology Madras,2021,18.5,30,17.88,29.09,34.43,37,15,10,28.5,15,21.1,17.32,21.43,13.57,7.43,20,100
,,,,,,,,,,,,,,,,,,,
2,Indian Institute of Technology Delhi,2021,18.5,29.39,18.48,25.39,35,39.43,13,8.39,29.53,13.15,21.65,16.64,24.21,18.19,3.99,20,98.63
,,,,,,,,,,,,,,,,,,,
3,Indian Institute of Technology Bombay,2021,18.5,30,19.48,21.33,33.66,36.18,15,7.72,29.96,13.85,19.51,16.39,18.53,12.56,4.59,18,92.88
,,,,,,,,,,,,,,,,,,,
4,Indian Institute of Technology Kanpur,2021,18.25,26.27,17.01,25.18,29.32,31.18,15,7.63,36.55,15,22,16.24,18.95,8.73,8.28,20,87.05
,,,,,,,,,,,,,,,,,,,
5,Indian Institute of Technology Kharagpur,2021,18.44,26.46,17.51,18.1,32.54,39.14,12,4.91,27.91,13.73,21.37,20,21.64,12.31,4.51,20,88.5
,,,,,,,,,,,,,,,,,,,
6,Indian Institute of Technology Roorkee,2021,18.11,25.43,16.16,19.58,31.42,35.56,6,5.15,36.54,15,21.85,17.35,24.05,12.41,6.9,20,63.59
,,,,,,,,,,,,,,,,,,,
7,Indian Institute of Technology Guwahati,2021,16.69,27.4,16.48,18.68,29.47,31.84,4,5.01,31.27,15,22.06,16.29,23.55,11.31,4.97,20,60.58
,,,,,,,,,,,,,,,,,,,
8,Indian Institute of Technology Hyderabad,2021,10.32,30,16.78,25.5,22.26,22.09,7,5.55,30.94,15,20.57,6.03,16.5,14.46,5.61,20,66.7
,,,,,,,,,,,,,,,,,,,
9,National Institute of Technology Tiruchirappalli,2021,16,20.82,13.74,19.44,23.21,24.5,3,3.91,35.46,15,17.3,10.37,16.59,17.96,6.8,20,69.32
,,,,,,,,,,,,,,,,,,,
10,National Institute of Technology Karnataka  Surathkal,2021,16,24.29,14.89,17.98,23.44,22.97,1,2.76,35.31,15,16.64,11.67,16.76,18.2,9.58,20,50.18
,,,,,,,,,,,,,,,,,,,
11,Indian Institute of Technology (Indian School of Mines) Dhanbad,2021,15.34,21.92,14.98,17.05,28.25,30.94,2.5,3.84,30.29,14.51,17.14,11.17,19.46,7.07,8.09,20,35.36
,,,,,,,,,,,,,,,,,,,
12,Vellore Institute of Technology,2021,18.54,20.02,13.2,9.65,27.24,35.19,7,0.27,25.57,13.92,13.67,13.84,19.06,20.66,0.12,20,49.73
,,,,,,,,,,,,,,,,,,,
13,Indian Institute of Technology Indore,2021,9.11,29.61,16.65,20.84,24.56,25.64,2,3.68,26.8,14.93,20.62,9.22,17.15,11.44,7.18,20,30.29
,,,,,,,,,,,,,,,,,,,
14,Indian Institute of Technology (Banaras Hindu University) Varanasi,2021,17.51,19.77,13.25,16.88,20.77,24.42,4,2.43,33.85,14.63,20.29,10.3,17.33,9.46,9.01,20,49.96
,,,,,,,,,,,,,,,,,,,
15,Institute of Chemical Technology,2021,10.28,25.7,16.91,22.57,19.2,21.37,8,6.05,32.82,15,13.8,10.94,6.51,24.36,1.8,13,21.98
,,,,,,,,,,,,,,,,,,,
16,Amrita Vishwa Vidyapeetham,2021,17.09,27.43,14.63,10.49,26.73,21.87,9,1.42,30.9,15,10.98,2.68,13.64,21.53,1.51,20,35.04
,,,,,,,,,,,,,,,,,,,
17,Jadavpur University,2021,17.08,17.19,11.6,8.95,27.22,29.09,1.5,2.8,32.58,15,16,13.3,3.67,12.9,6.42,20,48.82
,,,,,,,,,,,,,,,,,,,
18,Anna University,2021,18.02,24.03,13.38,10.86,20.63,24.18,3,2.25,19.67,15,12.89,11.05,0.77,26.66,3.44,20,65.95
,,,,,,,,,,,,,,,,,,,
19,Indian Institute of Technology Ropar,2021,11.24,30,17.57,22.54,13.55,16.04,1.5,2.99,31.17,14.48,19.02,4.42,22.84,15.12,4.82,20,33.74
,,,,,,,,,,,,,,,,,,,
20,National Institute of Technology Rourkela,2021,17.21,19.13,13.14,12.73,25.11,28.24,1.5,1.72,32.74,12.74,14.68,12.36,14.31,11.97,4.44,20,28.08
,,,,,,,,,,,,,,,,,,,
21,Indian Institute of Technology Patna,2021,9.43,28.85,17.38,20.84,20.82,19.67,1.5,2.94,25.87,12.96,19.29,5.66,15.92,9.78,7.52,20,28.83
,,,,,,,,,,,,,,,,,,,
22,Indian Institute of Technology Gandhinagar,2021,10.27,29.06,18.35,24.41,14.37,13.17,1,6.51,24.42,12.19,16.04,4.66,20.79,18.56,3.29,20,39.87
,,,,,,,,,,,,,,,,,,,
23,National Institute of Technology Warangal,2021,16,22.6,15,14.28,18.38,18.79,0,2.42,33.38,15,17.1,8.98,16.03,15.44,4.04,20,40.72
,,,,,,,,,,,,,,,,,,,
24,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2021,16.69,21.64,13.74,12.82,20.87,27.86,2,0.8,31.25,15,15.08,7.2,14.15,21.11,0.79,20,25.35
,,,,,,,,,,,,,,,,,,,
25,National Institute of Technology Calicut,2021,16,23.61,14.92,13.47,15.39,15.21,3,1.02,36.08,15,16.4,10.47,14.33,21.86,7.32,20,37.53
,,,,,,,,,,,,,,,,,,,
26,Birla Institute of Technology and Science Pilani,2021,17.87,19.04,12.69,13.36,16.84,19.62,3,0.49,38.67,15,20.15,5.75,22.14,13.52,0.08,20,39.87
,,,,,,,,,,,,,,,,,,,
27,Indian Institute of Engineering Science and Technology Shibpur,2021,13.77,23.49,14.32,14.55,22.98,21.28,1,2.29,25.95,13.68,14.72,10.11,11.74,14.63,3.33,20,42.36
,,,,,,,,,,,,,,,,,,,
28,Indian Institute of Technology Bhubaneswar,2021,9.13,28.01,18.12,19.83,16.11,17.06,1,3.65,30.14,15,18.56,2.74,22.2,11.55,1.87,20,29.93
,,,,,,,,,,,,,,,,,,,
29,National Institute of Technology Durgapur,2021,12.86,24.93,16.79,14.65,19.73,19.08,2,1.83,31.74,15,14.96,6.67,14.11,13.31,9.01,20,26.15
,,,,,,,,,,,,,,,,,,,
30,Visvesvaraya National Institute of Technology Nagpur,2021,14.38,22.51,14.57,14.73,18.2,18.92,5,3.94,32.12,15,15.05,8.49,13.21,17.05,3.27,20,17.84
,,,,,,,,,,,,,,,,,,,
31,Amity University,2021,14.77,27.32,14.98,11.38,24.66,21.06,11,0.53,23.12,15,10.18,4.08,14.22,22.32,0.39,20,9.87
,,,,,,,,,,,,,,,,,,,
32,Siksha `O` Anusandhan,2021,17.32,29.92,14.37,14.15,11.95,16.48,5,0.85,36.19,15,10.24,8.73,14.27,30,0.87,20,12.15
,,,,,,,,,,,,,,,,,,,
33,Jamia Millia Islamia,2021,10.5,25.24,14.36,10.17,23.24,23.29,1,2.46,36.15,15,15.44,6.37,17.12,9.25,8.34,20,13.24
,,,,,,,,,,,,,,,,,,,
34,S.R.M. Institute of Science and Technology,2021,17.44,21.51,11.44,9.93,19.18,24.35,7,0.38,34.65,15,10.3,7.06,18.9,21.2,0.8,20,13.24
,,,,,,,,,,,,,,,,,,,
35,Aligarh Muslim University,2021,12,30,16.22,13.58,22.5,23.75,3,0.85,26,13.26,12.29,5.11,5.99,10.51,3.88,20,20.65
,,,,,,,,,,,,,,,,,,,
36,Delhi Technological University,2021,16.63,27.44,11.51,10.65,12.66,15.93,2,1.2,35.59,15,17.3,5.75,17,19.83,1.77,20,39.59
,,,,,,,,,,,,,,,,,,,
37,Malaviya National Institute of Technology,2021,12.71,29.2,14.77,14.01,18.77,20.97,2,1.46,26.88,12.38,14.86,7.92,10.8,20.24,6.75,20,15.86
,,,,,,,,,,,,,,,,,,,
38,Shanmugha Arts Science Technology and Research Academy,2021,16.07,28.65,16,10.75,15.61,18.94,1.5,1.56,34.37,15,11.89,6.3,10.35,25.88,0.83,20,12.7
,,,,,,,,,,,,,,,,,,,
39,Kalinga Institute of Industrial Technology,2021,19,23.06,14.32,13.62,11.7,14.75,3,0.54,35.07,15,11.57,9.09,25.61,29.78,1.29,20,13.24
,,,,,,,,,,,,,,,,,,,
40,Indian Institute of Space Science and Technology,2021,6.95,30,17.8,22.73,11.22,9.81,1,1.15,28.44,12.75,17.33,2.56,18.06,18.89,8.32,20,39.01
,,,,,,,,,,,,,,,,,,,
41,Indian Institute of Technology Mandi,2021,9.64,21.33,14.31,20.67,15.76,16.64,0,3,30.36,14.25,19.41,5.02,21.1,16.59,3.97,20,21.98
,,,,,,,,,,,,,,,,,,,
42,Motilal Nehru National Institute of Technology,2021,14.2,21.45,13.95,14.63,15.49,16.67,0.5,1.4,33.47,15,17.47,7.7,12.72,13.62,8.5,20,21.98
,,,,,,,,,,,,,,,,,,,
43,Indian Institute of Technology Jodhpur,2021,10.32,27.02,17.1,21.95,12.07,12.88,0,3.12,26.1,13.7,18.41,4.38,19.34,19.57,4.43,20,13.78
,,,,,,,,,,,,,,,,,,,
44,National Institute of Technology Kurukshetra,2021,13.34,21.09,12.05,15.72,19.66,19.53,0.5,0.96,29.5,13.81,15.23,3.47,14.14,16.45,3.07,20,19.73
,,,,,,,,,,,,,,,,,,,
45,Sri Sivasubramaniya Nadar College of Engineering,2021,15,25.68,14.74,11.53,16.93,15.9,1,0.73,31.62,13.82,11.84,4.42,3.42,26.19,3.86,20,20.65
,,,,,,,,,,,,,,,,,,,
46,Birla Institute of Technology,2021,10.17,28.74,17.07,12.23,17.75,14.97,0,1.48,23.75,13.53,15.98,4.98,10.63,18.87,0.91,20,26.54
,,,,,,,,,,,,,,,,,,,
47,Sardar Vallabhbhai National Institute of Technology,2021,14.14,23.96,13.76,12.28,14.75,16.16,2,1.49,29.29,14.99,15.17,5.62,13.79,19.62,3.33,20,17.35
,,,,,,,,,,,,,,,,,,,
48,National Institute of Technology Silchar,2021,12.79,22.84,15.23,12.26,18.45,19.28,2,0.63,26.27,15,14.31,6.37,12.91,14.28,5.54,20,8.68
,,,,,,,,,,,,,,,,,,,
49,Dr. B R Ambedkar National Institute of Technology Jalandhar,2021,13.82,28.26,14.73,11.17,11.94,14.29,1,0.49,27.17,15,14.14,4.47,13.49,21.67,7.96,20,18.32
,,,,,,,,,,,,,,,,,,,
50,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2021,16.75,30,16.93,7.4,18.41,18.66,1,0.31,18.66,15,10.39,4.57,9.92,24.88,0.25,20,4.23
,,,,,,,,,,,,,,,,,,,
51,Manipal Institute of Technology,2021,15.5,29.87,14.82,9.96,13.26,13.92,1.5,0.32,18.25,15,14.1,2.8,19.16,21.43,1.44,20,21.98
,,,,,,,,,,,,,,,,,,,
52,College of Engineering Pune,2021,11.5,27.23,13.12,12.99,9.23,7.35,4,1.81,36.19,15,15.65,0.99,4.2,24.2,5.77,20,29.57
,,,,,,,,,,,,,,,,,,,
53,PSG College of Technology,2021,15.5,29.02,14.19,9.87,8.53,11.16,3,0.89,21.57,14.01,10.9,1.88,1.3,25.09,2.5,20,57.14
,,,,,,,,,,,,,,,,,,,
54,International Institute of Information Technology Hyderabad,2021,8.38,16.98,11.81,13.58,16.63,15.27,0,1.18,31.32,12.5,25,2.26,18.39,12.64,0.41,20,26.15
,,,,,,,,,,,,,,,,,,,
55,Sathyabama Institute of Science and Technology,2021,14.91,23.76,12.72,8.44,14.46,15.61,10,0.98,14.9,15,10.42,5.07,17.43,22.84,2.9,20,9.87
,,,,,,,,,,,,,,,,,,,
56,Kalasalingam Academy of Research and Education,2021,12.16,26.65,15.63,9.81,9.53,12.63,1,1.26,31.43,14.35,10.41,4.23,11.7,28.52,5.01,20,13.78
,,,,,,,,,,,,,,,,,,,
57,Visvesvaraya Technological University,2021,6.94,30,12.8,20.53,16.75,13.41,0,0.87,25.21,13.93,8.54,0.16,1.73,28.2,0,20,6.83
,,,,,,,,,,,,,,,,,,,
58,Defence Institute of Advanced Technology,2021,4.31,29.44,17.13,16.15,15.3,13.72,1,3.71,18.68,12.17,18.34,2.97,9.01,16.7,0,20,2.87
,,,,,,,,,,,,,,,,,,,
59,National Institute of Technology Meghalaya,2021,7.27,30,16.44,13.92,11.73,11.08,0,1.32,27.2,13.98,12.84,1.28,13.06,20.15,11.01,20,3.56
,,,,,,,,,,,,,,,,,,,
60,Maulana Azad National Institute of Technology,2021,13.34,19.37,12.32,10.69,13.31,14.22,0.5,0.86,29.56,15,14.84,4.57,13.12,19.91,5.57,20,9.87
,,,,,,,,,,,,,,,,,,,
61,Chandigarh University,2021,17,27.51,13.03,11.36,3,5.82,8,0.23,17.66,15,11.89,2.26,23.05,28.98,4.29,20,22.42
,,,,,,,,,,,,,,,,,,,
62,Jawaharlal Nehru Technological University,2021,14.48,26.96,12.87,17.99,12.17,10.83,2,2.99,14.68,13.21,10.34,2.8,1.78,27.4,4.62,20,12.7
,,,,,,,,,,,,,,,,,,,
63,Indraprastha Institute of Information Technology,2021,10.54,13.95,9.71,20.59,15.96,14.02,0,1.81,30.34,14.47,20.73,2.5,9.59,11.48,0.33,18,13.24
,,,,,,,,,,,,,,,,,,,
64,National Institute of Technology Raipur,2021,13.68,22.1,13.76,11.03,13.49,14.29,0.5,0.7,24.4,15,15.34,4.52,11.42,18.33,8.56,20,2.87
,,,,,,,,,,,,,,,,,,,
65,M. S. Ramaiah Institute of Technology,2021,12.33,29.77,14.82,9.34,7.07,8.31,1,0.46,31.09,15,12.35,1.62,8.34,23.55,1.82,20,14.31
,,,,,,,,,,,,,,,,,,,
66,Lovely Professional University,2021,17.89,24.14,11.6,9.07,7.96,11.81,6,0.2,18.26,15,10.55,2.01,24.17,18.49,1.81,20,14.83
,,,,,,,,,,,,,,,,,,,
67,Banasthali Vidyapith,2021,12.07,23.4,14.51,9.3,5.74,7.68,0,0.87,31.92,15,11.89,8.46,23.18,30,1.74,20,6.19
,,,,,,,,,,,,,,,,,,,
68,Pandit Deendayal Petroleum University Gandhinagar,2021,11.5,30,16.33,12.23,7,11.1,4,1.16,26.46,15,10.39,1.48,3.36,15.94,2.8,20,2.87
,,,,,,,,,,,,,,,,,,,
69,National Institute of Technology Srinagar,2021,10.14,24.73,14.87,16.13,6.26,7.25,0,0.78,25.55,15,13.37,3.93,12.03,21.32,10.54,20,6.19
,,,,,,,,,,,,,,,,,,,
70,Punjab Engineering College (Deemed to be University) Chandigarh,2021,11.56,19.57,11.43,13.42,6.14,7.97,0,1.13,32.21,15,15.68,2.68,13.59,20.14,1.68,20,26.15
,,,,,,,,,,,,,,,,,,,
71,Thiagarajar College of Engineering,2021,11.5,23.82,12.62,8.17,7.27,8.71,1,1.66,32.39,15,10.84,2.68,0.49,26.6,3.9,20,28.83
,,,,,,,,,,,,,,,,,,,
72,National Institute of Technology Patna,2021,11.17,18.42,12.32,12.55,10.67,11.42,0,2.21,30.97,13.58,14.23,3.08,10.35,9.71,10.72,20,9.87
,,,,,,,,,,,,,,,,,,,
73,Indian Institute of Information Technology Guwahati,2021,5.63,28.59,16.37,14.28,4.08,4.34,0,0.71,27.78,14.92,14.13,0.08,19.2,18.55,0.27,15,31.01
,,,,,,,,,,,,,,,,,,,
74,College of Engineering Visakhapatnam,2021,11,23.33,15.04,15.07,4.37,3.76,0,1.65,37.1,15,11.07,6.06,1.3,28.37,4.25,20,4.23
,,,,,,,,,,,,,,,,,,,
75,Graphic Era University,2021,10.89,27.32,13.96,12.6,4.52,6.23,2.5,0.4,23.43,14.39,10.39,0.85,16.36,23.55,0.54,20,24.53
,,,,,,,,,,,,,,,,,,,
76,International Institute of Information Technology Bangalore,2021,5.97,23.15,14.08,15.7,6.15,3.58,0.5,0.65,24.44,15,23.8,0.4,21.32,19.61,0,20,18.8
,,,,,,,,,,,,,,,,,,,
77,R.V. College of Engineering,2021,14,26.98,14.13,8.76,8.32,5.63,0,0.5,25.68,14.78,16.14,0.4,6.57,23.18,0.56,20,15.86
,,,,,,,,,,,,,,,,,,,
78,Sri Krishna College of Engineering and Technology,2021,12,27.62,11.78,10.83,2.8,4.14,3,0.92,36.04,15,11.82,0.4,1.1,25.81,2.8,20,17.35
,,,,,,,,,,,,,,,,,,,
79,Shri Mata Vaishno Devi University,2021,7.28,30,17.82,13.97,8.22,11.3,0,1.03,21.42,13.48,10.02,2.91,6.81,16.02,2.66,20,2.17
,,,,,,,,,,,,,,,,,,,
80,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology  Design and Manufacturing (IIITDM),2021,8.35,14.79,10.03,13.01,14.07,14.12,0,1.42,26.4,15,16.43,3.93,18.84,7.73,7.49,20,6.83
,,,,,,,,,,,,,,,,,,,
81,Indian Institute of Food Processing Technology (IIFPT),2021,5.02,30,17.64,19.18,1.35,3.07,0,3.56,28.5,14.86,8.31,0.47,7.65,27.78,2.13,20,9.87
,,,,,,,,,,,,,,,,,,,
82,Veermata Jijabai Technological Institute,2021,12.5,23.84,12.39,11.61,4.64,4.75,0,2.23,33.29,15,15.79,1.94,3.77,23.92,5.91,20,9.28
,,,,,,,,,,,,,,,,,,,
83,PES University,2021,13.96,25.74,11.79,10.8,6.38,5.08,1.5,0.4,31.06,15,14.31,0.16,4.51,23.43,1.42,20,13.24
,,,,,,,,,,,,,,,,,,,
84,Manipal University Jaipur,2021,12.18,28.08,15.59,9.49,7.51,9,0,0.14,24.4,15,11.23,0.16,18.79,19.78,0.15,20,0
,,,,,,,,,,,,,,,,,,,
85,National Institute of Technology Goa,2021,5.88,23.37,13.31,14.13,10.49,9.51,0,1.42,25.64,12.69,14.13,1.06,15.64,19.32,2.11,20,7.45
,,,,,,,,,,,,,,,,,,,
86,National Institute of Technology Jamshedpur,2021,11.49,18.67,12.8,13.49,6.06,8.43,0,1.13,35.12,15,14.56,2.97,12.61,9.91,3.21,20,8.07
,,,,,,,,,,,,,,,,,,,
87,Indian Institute of Information Technology Allahabad,2021,9.04,14.39,9.8,13.33,7.69,7.33,0,0.67,31.74,15,22.18,3.36,17.74,10.09,3.91,20,19.73
,,,,,,,,,,,,,,,,,,,
88,Netaji Subhas University of Technology (NSUT),2021,13.48,16.44,8.02,9.2,9.98,12.2,0,0.07,28.29,15,19.29,3.25,5.25,18.76,0.22,20,18.32
,,,,,,,,,,,,,,,,,,,
89,Panjab University,2021,10.72,14.38,9.01,5.61,17.07,20.86,3,1.68,19.58,11.75,13.49,3.57,13.55,20.97,0.6,8,14.83
,,,,,,,,,,,,,,,,,,,
90,Kumaraguru College of Technology,2021,13.26,27.14,13.51,7.85,6.77,5.93,2.5,0.56,28.09,13.64,10.59,0.16,0.93,24.15,0.64,20,15.86
,,,,,,,,,,,,,,,,,,,
91,University of Petroleum and Energy Studies,2021,11.98,21.42,11.59,12.93,7.92,9.12,3,0.25,24.59,14.91,11.35,0.16,19.8,17.24,0.01,20,4.9
,,,,,,,,,,,,,,,,,,,
92,National Institute of Technology Agartala,2021,10.39,21.77,12.96,11.84,9.94,11.66,0,0.22,19.31,12.93,13.83,2.8,11.34,18.32,8.04,20,6.83
,,,,,,,,,,,,,,,,,,,
93,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,2021,12.02,25.25,12.19,6.35,11.61,13.25,3.5,0.13,18.53,9.07,10.78,0.16,19.38,18.7,5.53,20,4.9
,,,,,,,,,,,,,,,,,,,
94,Jaypee Institute of Information Technology,2021,12.64,19.81,11.93,8.69,10.56,11.35,1,0.2,29.11,13.82,11.54,2.32,8.67,20.63,0,20,6.83
,,,,,,,,,,,,,,,,,,,
95,College of Engineering Trivandrum,2021,11.5,30,12.57,9.78,5.09,4.3,0,0.86,24.91,15,11.94,1.55,0.58,25.73,3.85,20,14.83
,,,,,,,,,,,,,,,,,,,
